TEmpoAberturaMilisegundos:30000
TempoAbertura TempoGastoNaFila TempoOcioso 
9150000 1229854 10396867
9180000 1216867 10412922
9210000 1202922 10428944
9240000 1188944 10446037
9270000 1176037 10462122
9300000 1162122 10478210
9330000 1148210 10495260
9360000 1135260 10512358
9390000 1122358 10531383
9420000 1111383 10547415
9450000 1097415 10566473
9480000 1086473 10582485
9510000 1072485 10599517
9540000 1059517 10616524
9570000 1046524 10633555
9600000 1033555 10649603
9630000 1019603 10666669
9660000 1006669 10684683
9690000 994683 10700717
9720000 980717 10715722
9750000 965722 10736750
9780000 956750 10755789
9810000 945789 10771853
9840000 931853 10787922
9870000 917922 10803983
9900000 903983 10821035
9930000 891035 10838120
9960000 878120 10859164
9990000 869164 10878250
10020000 858250 10897303
10050000 847303 10914315
10080000 834315 10929343
10110000 819343 10944424
10140000 804424 10959521
10170000 789521 10977566
10200000 777566 10995594
10230000 765594 11011671
10260000 751671 11027753
10290000 737753 11043800
10320000 723800 11059883
10350000 709883 11076953
10380000 696953 11093009
10410000 683009 11112078
10440000 672078 11128153
10470000 658153 11143185
10500000 643185 11163186
10530000 633186 11179198
10560000 619198 11196257
10590000 606257 11214317
10620000 594317 11232317
10650000 582317 11253375
10680000 573375 11269466
10710000 559466 11286556
10740000 546556 11304640
10770000 534640 11321641
10800000 521641 11336690
10830000 506690 11352719
10860000 492719 11369795
10890000 479795 11385886
10920000 465886 11400943
10950000 450943 11419019
10980000 439019 11438103
11010000 428103 11455109
11040000 415109 11472150
11070000 402150 11488226
11100000 388226 11506237
11130000 376237 11524331
11160000 364331 11541396
11190000 351396 11561428
11220000 341428 11580428
11250000 330428 11599527
11280000 319527 11616548
11310000 306548 11633604
11340000 293604 11650629
11370000 280629 11666720
11400000 266720 11681784
11430000 251784 11697869
11460000 237869 11714960
11490000 224960 11732034
11520000 212034 11750063
11550000 200063 11768111
11580000 188111 11785149
11610000 175149 11802190
11640000 162190 11824213
11670000 154213 11841213
11700000 141213 11857271
11730000 127271 11876280
11760000 116280 11895295
11790000 105295 11915308
11820000 95308 11932327
11850000 82327 11949332
11880000 69332 11967379
11910000 57379 11984415
11940000 44415 12004443
11970000 34443 12021463
12000000 21463 12037463
12030000 7463 12059500
12060000 0 24136555
12090000 12046555 24152627
12120000 12032627 24169670
12150000 12019670 24188693
12180000 12008693 24207722
12210000 11997722 24224773
12240000 11984773 24241860
12270000 11971860 24257955
12300000 11957955 24276999
12330000 11946999 24293004
12360000 11933004 24313045
12390000 11923045 24331045
12420000 11911045 24348094
12450000 11898094 24365127
12480000 11885127 24381140
12510000 11871140 24397225
12540000 11857225 24414281
12570000 11844281 24432312
12600000 11832312 24450315
12630000 11820315 24467388
12660000 11807388 24484389
12690000 11794389 24501429
12720000 11781429 24521484
12750000 11771484 24538560
12780000 11758560 24556577
12810000 11746577 24578639
12840000 11738639 24596652
12870000 11726652 24612678
12900000 11712678 24629686
12930000 11699686 24647730
12960000 11687730 24666779
12990000 11676779 24684839
13020000 11664839 24701932
13050000 11651932 24717973
13080000 11637973 24736005
13110000 11626005 24755077
13140000 11615077 24777153
13170000 11607153 24794243
13200000 11594243 24815270
13230000 11585270 24832292
13260000 11572292 24849346
13290000 11559346 24866433
13320000 11546433 24885496
13350000 11535496 24905582
13380000 11525582 24923588
13410000 11513588 24940662
13440000 11500662 24957720
13470000 11487720 24975730
13500000 11475730 24996772
13530000 11466772 25015859
13560000 11455859 25037949
13590000 11447949 25056009
13620000 11436009 25072073
13650000 11422073 25088128
13680000 11408128 25107153
13710000 11397153 25125227
13740000 11385227 25142275
13770000 11372275 25161302
13800000 11361302 25184304
13830000 11354304 25202321
13860000 11342321 25223374
13890000 11333374 25240452
13920000 11320452 25259550
13950000 11309550 25279646
13980000 11299646 25297716
14010000 11287716 25315732
14040000 11275732 25333752
14070000 11263752 25350836
14100000 11250836 25366910
14130000 11236910 25387924
14160000 11227924 25407940
14190000 11217940 25430958
14220000 11210958 25448042
14250000 11198042 25466068
14280000 11186068 25484100
14310000 11174100 25502185
14340000 11162185 25520216
14370000 11150216 25538251
14400000 11138251 25555350
14430000 11125350 25571439
14460000 11111439 25587518
14490000 11097518 25606568
14520000 11086568 25625629
14550000 11075629 25643681
14580000 11063681 25662748
14610000 11052748 25681763
14640000 11041763 25701796
14670000 11031796 25719843
14700000 11019843 25737858
14730000 11007858 25753953
14760000 10993953 25775037
14790000 10985037 25792135
14820000 10972135 25810135
14850000 10960135 25828177
14880000 10948177 25848218
14910000 10938218 25868278
14940000 10928278 25887280
14970000 10917280 25906296
15000000 10906296 25924364
15030000 10894364 25943447
15060000 10883447 25961461
15090000 10871461 25979477
15120000 10859477 25999526
15150000 10849526 26017588
15180000 10837588 26035618
15210000 10825618 26052637
15240000 10812637 26069647
15270000 10799647 26087727
15300000 10787727 26110819
15330000 10780819 26128897
15360000 10768897 26146969
15390000 10756969 26166062
15420000 10746062 26187154
15450000 10737154 26206186
15480000 10726186 26224232
15510000 10714232 26242264
15540000 10702264 26261310
15570000 10691310 26280328
15600000 10680328 26300404
15630000 10670404 26320469
15660000 10660469 26338552
15690000 10648552 26357602
15720000 10637602 26375649
15750000 10625649 26393748
15780000 10613748 26411810
15810000 10601810 26433838
15840000 10593838 26453918
15870000 10583918 26475924
15900000 10575924 26494016
15930000 10564016 26511064
15960000 10551064 26529110
15990000 10539110 26547196
16020000 10527196 26566256
16050000 10516256 26590261
16080000 10510261 26608354
16110000 10498354 26628384
16140000 10488384 26645448
16170000 10475448 26662501
16200000 10462501 26684544
16230000 10454544 26702620
16260000 10442620 26726638
16290000 10436638 26748657
16320000 10428657 26767720
16350000 10417720 26786725
16380000 10406725 26805737
16410000 10395737 26823797
16440000 10383797 26841895
16470000 10371895 26859954
16500000 10359954 26878053
16530000 10348053 26897126
16560000 10337126 26916147
16590000 10326147 26934223
16620000 10314223 26953237
16650000 10303237 26972264
16680000 10292264 26989332
16710000 10279332 27007406
16740000 10267406 27027439
16770000 10257439 27051471
16800000 10251471 27073504
16830000 10243504 27092581
16860000 10232581 27110671
16890000 10220671 27130715
16920000 10210715 27149728
16950000 10199728 27168763
16980000 10188763 27187799
17010000 10177799 27205890
17040000 10165890 27224919
17070000 10154919 27244921
17100000 10144921 27263963
17130000 10133963 27285014
17160000 10125014 27309060
17190000 10119060 27331107
17220000 10111107 27350198
17250000 10100198 27369202
17280000 10089202 27386293
17310000 10076293 27406351
17340000 10066351 27426398
17370000 10056398 27445457
17400000 10045457 27463465
17430000 10033465 27482553
17460000 10022553 27502560
17490000 10012560 27521565
17520000 10001565 27540616
17550000 9990616 27561675
17580000 9981675 27585736
17610000 9975736 27604785
17640000 9964785 27623836
17670000 9953836 27641851
17700000 9941851 27661924
17730000 9931924 27684934
17760000 9924934 27703940
17790000 9913940 27726020
17820000 9906020 27747104
17850000 9897104 27768181
17880000 9888181 27788271
17910000 9878271 27806302
17940000 9866302 27825376
17970000 9855376 27844440
18000000 9844440 27867465
18030000 9837465 27886485
18060000 9826485 27905506
18090000 9815506 27929581
18120000 9809581 27948644
18150000 9798644 27968665
18180000 9788665 27987730
18210000 9777730 28007761
18240000 9767761 28026835
18270000 9756835 28046928
18300000 9746928 28066965
18330000 9736965 28086001
18360000 9726001 28108001
18390000 9718001 28129094
18420000 9709094 28151189
18450000 9701189 28170267
18480000 9690267 28189346
18510000 9679346 28208435
18540000 9668435 28229440
18570000 9659440 28252480
18600000 9652480 28271560
18630000 9641560 28290596
18660000 9630596 28313611
18690000 9623611 28338641
18720000 9618641 28360652
18750000 9610652 28382669
18780000 9602669 28401721
18810000 9591721 28421783
18840000 9581783 28441787
18870000 9571787 28460880
18900000 9560880 28478940
18930000 9548940 28501995
18960000 9541995 28522026
18990000 9532026 28541118
19020000 9521118 28561169
19050000 9511169 28580262
19080000 9500262 28602298
19110000 9492298 28622323
19140000 9482323 28642331
19170000 9472331 28662378
19200000 9462378 28684405
19230000 9454405 28709450
19260000 9449450 28732480
19290000 9442480 28752546
19320000 9432546 28772554
19350000 9422554 28792573
19380000 9412573 28812581
19410000 9402581 28830645
19440000 9390645 28848720
19470000 9378720 28871790
19500000 9371790 28892871
19530000 9362871 28913911
19560000 9353911 28936958
19590000 9346958 28956039
19620000 9336039 28975123
19650000 9325123 28995165
19680000 9315165 29017209
19710000 9307209 29042270
19740000 9302270 29062294
19770000 9292294 29082329
19800000 9282329 29102353
19830000 9272353 29120444
19860000 9260444 29143530
19890000 9253530 29163555
19920000 9243555 29183648
19950000 9233648 29203689
19980000 9223689 29225749
20010000 9215749 29247815
20040000 9207815 29272890
20070000 9202890 29295951
20100000 9195951 29316000
20130000 9186000 29337095
20160000 9177095 29357134
20190000 9167134 29377171
20220000 9157171 29395263
20250000 9145263 29414267
20280000 9134267 29437366
20310000 9127366 29456460
20340000 9116460 29478554
20370000 9108554 29500638
20400000 9100638 29520695
20430000 9090695 29540708
20460000 9080708 29559718
20490000 9069718 29579733
20520000 9059733 29599799
20550000 9049799 29624890
20580000 9044890 29644946
20610000 9034946 29665015
20640000 9025015 29686035
20670000 9016035 29706124
20700000 9006124 29729198
20730000 8999198 29749270
20760000 8989270 29768287
20790000 8978287 29792326
20820000 8972326 29811363
20850000 8961363 29833391
20880000 8953391 29853481
20910000 8943481 29873549
20940000 8933549 29895648
20970000 8925648 29915675
21000000 8915675 29936709
21030000 8906709 29962713
21060000 8902713 29985800
21090000 8895800 30006846
21120000 8886846 30026925
21150000 8876925 30046995
21180000 8866995 30066018
21210000 8856018 30086046
21240000 8846046 30106094
21270000 8836094 30126137
21300000 8826137 30146234
21330000 8816234 30169255
21360000 8809255 30193256
21390000 8803256 30214260
21420000 8794260 30235320
21450000 8785320 30255402
21480000 8775402 30279455
21510000 8769455 30300503
21540000 8760503 30326520
21570000 8756520 30346612
21600000 8746612 30366695
21630000 8736695 30385731
21660000 8725731 30408762
21690000 8718762 30429776
21720000 8709776 30450841
21750000 8700841 30473878
21780000 8693878 30499910
21810000 8689910 30520985
21840000 8680985 30541082
21870000 8671082 30560133
21900000 8660133 30579198
21930000 8649198 30601254
21960000 8641254 30621312
21990000 8631312 30642330
22020000 8622330 30664337
22050000 8614337 30685386
22080000 8605386 30707411
22110000 8597411 30730465
22140000 8590465 30756513
22170000 8586513 30777543
22200000 8577543 30798574
22230000 8568574 30822655
22260000 8562655 30845701
22290000 8555701 30866742
22320000 8546742 30887753
22350000 8537753 30909823
22380000 8529823 30930902
22410000 8520902 30951990
22440000 8511990 30975063
22470000 8505063 30998127
22500000 8498127 31019146
22530000 8489146 31040202
22560000 8480202 31061228
22590000 8471228 31082274
22620000 8462274 31103319
22650000 8453319 31124383
22680000 8444383 31146423
22710000 8436423 31172485
22740000 8432485 31196551
22770000 8426551 31217596
22800000 8417596 31239598
22830000 8409598 31260622
22860000 8400622 31280629
22890000 8390629 31305643
22920000 8385643 31326707
22950000 8376707 31349789
22980000 8369789 31371808
23010000 8361808 31392880
23040000 8352880 31413915
23070000 8343915 31435923
23100000 8335923 31457003
23130000 8327003 31481084
23160000 8321084 31501091
23190000 8311091 31523189
23220000 8303189 31544189
23250000 8294189 31566244
23280000 8286244 31592320
23310000 8282320 31613379
23340000 8273379 31639475
23370000 8269475 31663479
23400000 8263479 31685514
23430000 8255514 31705537
23460000 8245537 31727561
23490000 8237561 31750659
23520000 8230659 31771733
23550000 8221733 31792786
23580000 8212786 31813873
23610000 8203873 31834928
23640000 8194928 31854963
23670000 8184963 31877976
23700000 8177976 31903005
23730000 8173005 31924020
23760000 8164020 31945095
23790000 8155095 31967192
23820000 8147192 31989244
23850000 8139244 32011248
23880000 8131248 32031300
23910000 8121300 32052390
23940000 8112390 32073421
23970000 8103421 32100432
24000000 8100432 32123460
24030000 8093460 32144550
24060000 8084550 32165615
24090000 8075615 32186709
24120000 8066709 32207776
24150000 8057776 32229827
24180000 8049827 32252874
24210000 8042874 32274887
24240000 8034887 32295972
24270000 8025972 32317979
24300000 8017979 32340062
24330000 8010062 32362082
24360000 8002082 32383166
24390000 7993166 32405233
24420000 7985233 32425300
24450000 7975300 32450357
24480000 7970357 32471403
24510000 7961403 32493408
24540000 7953408 32514488
24570000 7944488 32536493
24600000 7936493 32556563
24630000 7926563 32581639
24660000 7921639 32605704
24690000 7915704 32629754
24720000 7909754 32656795
24750000 7906795 32681857
24780000 7901857 32702919
24810000 7892919 32724948
24840000 7884948 32746970
24870000 7876970 32769052
24900000 7869052 32791052
24930000 7861052 32813087
24960000 7853087 32833169
24990000 7843169 32856231
25020000 7836231 32879277
25050000 7829277 32901289
25080000 7821289 32923335
25110000 7813335 32944413
25140000 7804413 32966463
25170000 7796463 32986548
25200000 7786548 33013603
25230000 7783603 33038679
25260000 7778679 33060698
25290000 7770698 33083774
25320000 7763774 33108864
25350000 7758864 33130898
25380000 7750898 33154962
25410000 7744962 33177014
25440000 7737014 33200042
25470000 7730042 33224122
25500000 7724122 33247164
25530000 7717164 33269229
25560000 7709229 33291323
25590000 7701323 33315417
25620000 7695417 33342486
25650000 7692486 33364557
25680000 7684557 33385649
25710000 7675649 33407675
25740000 7667675 33429735
25770000 7659735 33452795
25800000 7652795 33477884
25830000 7647884 33498910
25860000 7638910 33520958
25890000 7630958 33541971
25920000 7621971 33565976
25950000 7615976 33588985
25980000 7608985 33612041
26010000 7602041 33634120
26040000 7594120 33660137
26070000 7590137 33686139
26100000 7586139 33708200
26130000 7578200 33730239
26160000 7570239 33753280
26190000 7563280 33777373
26220000 7557373 33800446
26250000 7550446 33825453
26280000 7545453 33847473
26310000 7537473 33869554
26340000 7529554 33894578
26370000 7524578 33916677
26400000 7516677 33942710
26430000 7512710 33965735
26460000 7505735 33987829
26490000 7497829 34011849
26520000 7491849 34036857
26550000 7486857 34063952
26580000 7483952 34089968
26610000 7479968 34110995
26640000 7470995 34133048
26670000 7463048 34155134
26700000 7455134 34178189
26730000 7448189 34200260
26760000 7440260 34223264
26790000 7433264 34249297
26820000 7429297 34274338
26850000 7424338 34297409
26880000 7417409 34320492
26910000 7410492 34342581
26940000 7402581 34367604
26970000 7397604 34395613
27000000 7395613 34418626
27030000 7388626 34439679
27060000 7379679 34463713
27090000 7373713 34485747
27120000 7365747 34508803
27150000 7358803 34531891
27180000 7351891 34554901
27210000 7344901 34576988
27240000 7336988 34601004
27270000 7331004 34629028
27300000 7329028 34655076
27330000 7325076 34678098
27360000 7318098 34699166
27390000 7309166 34720239
27420000 7300239 34744288
27450000 7294288 34770349
27480000 7290349 34792398
27510000 7282398 34815417
27540000 7275417 34840455
27570000 7270455 34863527
27600000 7263527 34888599
27630000 7258599 34914662
27660000 7254662 34937699
27690000 7247699 34959763
27720000 7239763 34983766
27750000 7233766 35011804
27780000 7231804 35034845
27810000 7224845 35057862
27840000 7217862 35080885
27870000 7210885 35101972
27900000 7201972 35126035
27930000 7196035 35152110
27960000 7192110 35180166
27990000 7190166 35204214
28020000 7184214 35229302
28050000 7179302 35255380
28080000 7175380 35279428
28110000 7169428 35302480
28140000 7162480 35325518
28170000 7155518 35346614
28200000 7146614 35370692
28230000 7140692 35393747
28260000 7133747 35415748
28290000 7125748 35441837
28320000 7121837 35463915
28350000 7113915 35486953
28380000 7106953 35513968
28410000 7103968 35540064
28440000 7100064 35563134
28470000 7093134 35586200
28500000 7086200 35608292
28530000 7078292 35631344
28560000 7071344 35654373
28590000 7064373 35680375
28620000 7060375 35708444
28650000 7058444 35732505
28680000 7052505 35755570
28710000 7045570 35778621
28740000 7038621 35801703
28770000 7031703 35824780
28800000 7024780 35850819
28830000 7020819 35878904
28860000 7018904 35901990
28890000 7011990 35926067
28920000 7006067 35948097
28950000 6998097 35975128
28980000 6995128 35998173
29010000 6988173 36024191
29040000 6984191 36051202
29070000 6981202 36074283
29100000 6974283 36098377
29130000 6968377 36121475
29160000 6961475 36144558
29190000 6954558 36169583
29220000 6949583 36195639
29250000 6945639 36224640
29280000 6944640 36251667
29310000 6941667 36275669
29340000 6935669 36297709
29370000 6927709 36319755
29400000 6919755 36344808
29430000 6914808 36367891
29460000 6907891 36391975
29490000 6901975 36418009
29520000 6898009 36443023
29550000 6893023 36467043
29580000 6887043 36492114
29610000 6882114 36516127
29640000 6876127 36542177
29670000 6872177 36568249
29700000 6868249 36597265
29730000 6867265 36624307
29760000 6864307 36647369
29790000 6857369 36671406
29820000 6851406 36695505
29850000 6845505 36719574
29880000 6839574 36741634
29910000 6831634 36768694
29940000 6828694 36791768
29970000 6821768 36815783
30000000 6815783 36839813
30030000 6809813 36863841
30060000 6803841 36885910
30090000 6795910 36907984
30120000 6787984 36931994
30150000 6781994 36958058
30180000 6778058 36984144
30210000 6774144 37008177
30240000 6768177 37033204
30270000 6763204 37058288
30300000 6758288 37085361
30330000 6755361 37108436
30360000 6748436 37131523
30390000 6741523 37155573
30420000 6735573 37177666
30450000 6727666 37204758
30480000 6724758 37230760
30510000 6720760 37253851
30540000 6713851 37280919
30570000 6710919 37304961
30600000 6704961 37328990
30630000 6698990 37351073
30660000 6691073 37375137
30690000 6685137 37401215
30720000 6681215 37426280
30750000 6676280 37453280
30780000 6673280 37482321
30810000 6672321 37506367
30840000 6666367 37531407
30870000 6661407 37555425
30900000 6655425 37579432
30930000 6649432 37606447
30960000 6646447 37635502
30990000 6645502 37660556
31020000 6640556 37684612
31050000 6634612 37712618
31080000 6632618 37736696
31110000 6626696 37761704
31140000 6621704 37787796
31170000 6617796 37814877
31200000 6614877 37838936
31230000 6608936 37861032
31260000 6601032 37886093
31290000 6596093 37910190
31320000 6590190 37935216
31350000 6585216 37959315
31380000 6579315 37986346
31410000 6576346 38010420
31440000 6570420 38034476
31470000 6564476 38057497
31500000 6557497 38083527
31530000 6553527 38107603
31560000 6547603 38136672
31590000 6546672 38163767
31620000 6543767 38188835
31650000 6538835 38213878
31680000 6533878 38240901
31710000 6530901 38268911
31740000 6528911 38293994
31770000 6523994 38322029
31800000 6522029 38346120
31830000 6516120 38371196
31860000 6511196 38397202
31890000 6507202 38424248
31920000 6504248 38453331
31950000 6503331 38477419
31980000 6497419 38502432
32010000 6492432 38527445
32040000 6487445 38553471
32070000 6483471 38580513
32100000 6480513 38609612
32130000 6479612 38637638
32160000 6477638 38661724
32190000 6471724 38687784
32220000 6467784 38712882
32250000 6462882 38737910
32280000 6457910 38760969
32310000 6450969 38785038
32340000 6445038 38810064
32370000 6440064 38837125
32400000 6437125 38862152
32430000 6432152 38885201
32460000 6425201 38912280
32490000 6422280 38937284
32520000 6417284 38967299
32550000 6417299 38992315
32580000 6412315 39017358
32610000 6407358 39042378
32640000 6402378 39068382
32670000 6398382 39093454
32700000 6393454 39119495
32730000 6389495 39144536
32760000 6384536 39167609
32790000 6377609 39190672
32820000 6370672 39216746
32850000 6366746 39244829
32880000 6364829 39272885
32910000 6362885 39299981
32940000 6359981 39326008
32970000 6356008 39351065
33000000 6351065 39376080
33030000 6346080 39399169
33060000 6339169 39423268
33090000 6333268 39450367
33120000 6330367 39480397
33150000 6330397 39505428
33180000 6325428 39530486
33210000 6320486 39553564
33240000 6313564 39578599
33270000 6308599 39603618
33300000 6303618 39628673
33330000 6298673 39658721
33360000 6298721 39686735
33390000 6296735 39711783
33420000 6291783 39736858
33450000 6286858 39763863
33480000 6283863 39792877
33510000 6282877 39818913
33540000 6278913 39846929
33570000 6276929 39873002
33600000 6273002 39899045
33630000 6269045 39924118
33660000 6264118 39948123
33690000 6258123 39973158
33720000 6253158 39998229
33750000 6248229 40024232
33780000 6244232 40049325
33810000 6239325 40074417
33840000 6234417 40099484
33870000 6229484 40127571
33900000 6227571 40153630
33930000 6223630 40177639
33960000 6217639 40202668
33990000 6212668 40227719
34020000 6207719 40253738
34050000 6203738 40279827
34080000 6199827 40307857
34110000 6197857 40337920
34140000 6197920 40362983
34170000 6192983 40388028
34200000 6188028 40412048
34230000 6182048 40438058
34260000 6178058 40464068
34290000 6174068 40490143
34320000 6170143 40518190
34350000 6168190 40543250
34380000 6163250 40567274
34410000 6157274 40593339
34440000 6153339 40621384
34470000 6151384 40650385
34500000 6150385 40675462
34530000 6145462 40699496
34560000 6139496 40726530
34590000 6136530 40755573
34620000 6135573 40780638
34650000 6130638 40806638
34680000 6126638 40832665
34710000 6122665 40860726
34740000 6120726 40884775
34770000 6114775 40911824
34800000 6111824 40940882
34830000 6110882 40965977
34860000 6105977 40991068
34890000 6101068 41015106
34920000 6095106 41040162
34950000 6090162 41065241
34980000 6085241 41091255
35010000 6081255 41117301
35040000 6077301 41147390
35070000 6077390 41176404
35100000 6076404 41201478
35130000 6071478 41227490
35160000 6067490 41256564
35190000 6066564 41282658
35220000 6062658 41306722
35250000 6056722 41330775
35280000 6050775 41355869
35310000 6045869 41381898
35340000 6041898 41410926
