TEmpoAberturaMilisegundos:30000
TempoAbertura TempoGastoNaFila TempoOcioso 
0 0 15073
30000 0 57150
60000 0 129224
90000 39224 141252
120000 21252 152287
150000 2287 164332
180000 0 359391
210000 149391 371430
240000 131430 382515
270000 112515 394560
300000 94560 407582
330000 77582 420649
360000 60649 435739
390000 45739 447795
420000 27795 460818
450000 10818 472879
480000 0 964880
510000 454880 977963
540000 437963 991057
570000 421057 1008098
600000 408098 1020189
630000 390189 1032277
660000 372277 1044356
690000 354356 1056426
720000 336426 1068468
750000 318468 1080547
780000 300547 1093549
810000 283549 1107550
840000 267550 1120558
870000 250558 1132617
900000 232617 1148623
930000 218623 1160718
960000 200718 1172804
990000 182804 1183869
1020000 163869 1195886
1050000 145886 1209896
1080000 129896 1226952
1110000 116952 1238016
1140000 98016 1254023
1170000 84023 1268052
1200000 68052 1280148
1230000 50148 1297219
1260000 37219 1310242
1290000 20242 1323259
1320000 3259 1336260
1350000 0 2697339
1380000 1317339 2709352
1410000 1299352 2721384
1440000 1281384 2734473
1470000 1264473 2747562
1500000 1247562 2760571
1530000 1230571 2772644
1560000 1212644 2785690
1590000 1195690 2798704
1620000 1178704 2815792
1650000 1165792 2829798
1680000 1149798 2843803
1710000 1133803 2859837
1740000 1119837 2872875
1770000 1102875 2885891
1800000 1085891 2896985
1830000 1066985 2913021
1860000 1053021 2926021
1890000 1036021 2942074
1920000 1022074 2956142
1950000 1006142 2969172
1980000 989172 2982203
2010000 972203 2995231
2040000 955231 3009251
2070000 939251 3023272
2100000 923272 3036339
2130000 906339 3048345
2160000 888345 3060353
2190000 870353 3076403
2220000 856403 3089417
2250000 839417 3101478
2280000 821478 3114523
2310000 804523 3127573
2340000 787573 3143643
2370000 773643 3156727
2400000 756727 3168752
2430000 738752 3186788
2460000 726788 3199855
2490000 709855 3212930
2520000 692930 3225977
2550000 675977 3239021
2580000 659021 3251043
2610000 641043 3267109
2640000 627109 3279184
2670000 609184 3291261
2700000 591261 3305278
2730000 575278 3318371
2760000 558371 3330413
2790000 540413 3342505
2820000 522505 3355551
2850000 505551 3367645
2880000 487645 3380722
2910000 470722 3395723
2940000 455723 3411809
2970000 441809 3424872
3000000 424872 3437932
3030000 407932 3451982
3060000 391982 3470033
3090000 380033 3483115
3120000 363115 3496214
3150000 346214 3509313
3180000 329313 3522393
3210000 312393 3535470
3240000 295470 3549475
3270000 279475 3567542
3300000 267542 3581557
3330000 251557 3593610
3360000 233610 3606620
3390000 216620 3620686
3420000 200686 3634694
3450000 184694 3650790
3480000 170790 3664837
3510000 154837 3679869
3540000 139869 3693893
3570000 123893 3706990
3600000 106990 3720013
3630000 90013 3734037
3660000 74037 3748068
3690000 58068 3760140
3720000 40140 3774203
3750000 24203 3789251
3780000 9251 3806266
3810000 0 7629358
3840000 3789358 7646369
3870000 3776369 7660375
3900000 3760375 7675406
3930000 3745406 7689461
3960000 3729461 7703501
3990000 3713501 7715588
4020000 3695588 7732612
4050000 3682612 7745699
4080000 3665699 7760722
4110000 3650722 7778814
4140000 3638814 7792859
4170000 3622859 7806863
4200000 3606863 7819898
4230000 3589898 7836949
4260000 3576949 7851006
4290000 3561006 7864057
4320000 3544057 7881097
4350000 3531097 7894147
4380000 3514147 7908179
4410000 3498179 7923185
4440000 3483185 7937273
4470000 3467273 7951295
4500000 3451295 7965296
4530000 3435296 7980369
4560000 3420369 7995426
4590000 3405426 8014431
4620000 3394431 8028489
4650000 3378489 8042563
4680000 3362563 8056612
4710000 3346612 8071635
4740000 3331635 8085719
4770000 3315719 8100808
4800000 3300808 8115860
4830000 3285860 8129933
4860000 3269933 8143970
4890000 3253970 8156985
4920000 3236985 8171001
4950000 3221001 8184066
4980000 3204066 8199069
5010000 3189069 8218088
5040000 3178088 8232181
5070000 3162181 8247201
5100000 3147201 8263211
5130000 3133211 8282246
5160000 3122246 8295326
5190000 3105326 8309391
5220000 3089391 8326460
5250000 3076460 8340548
5280000 3060548 8354647
5310000 3044647 8368693
5340000 3028693 8382724
5370000 3012724 8397729
5400000 2997729 8412739
5430000 2982739 8427760
5460000 2967760 8442843
5490000 2952843 8458869
5520000 2938869 8477919
5550000 2927919 8495003
5580000 2915003 8509064
5610000 2899064 8522117
5640000 2882117 8536142
5670000 2866142 8551216
5700000 2851216 8566229
5730000 2836229 8581292
5760000 2821292 8600361
5790000 2810361 8615389
5820000 2795389 8630393
5850000 2780393 8644469
5880000 2764469 8657527
5910000 2747527 8674625
5940000 2734625 8689644
5970000 2719644 8704679
6000000 2704679 8719706
6030000 2689706 8737713
6060000 2677713 8751738
6090000 2661738 8765797
6120000 2645797 8780854
6150000 2630854 8796913
6180000 2616913 8814928
6210000 2604928 8832951
6240000 2592951 8852035
6270000 2582035 8866075
6300000 2566075 8881153
6330000 2551153 8896186
6360000 2536186 8911227
6390000 2521227 8927228
6420000 2507228 8943305
6450000 2493305 8958353
6480000 2478353 8972442
6510000 2462442 8985521
6540000 2445521 9000597
6570000 2430597 9020599
6600000 2420599 9038632
6630000 2408632 9052721
6660000 2392721 9066790
6690000 2376790 9081813
6720000 2361813 9096862
6750000 2346862 9111926
6780000 2331926 9126958
6810000 2316958 9142052
6840000 2302052 9158145
6870000 2288145 9174201
6900000 2274201 9190276
6930000 2260276 9205332
6960000 2245332 9220336
6990000 2230336 9235432
7020000 2215432 9250513
7050000 2200513 9266545
7080000 2186545 9281593
7110000 2171593 9295595
7140000 2155595 9310600
7170000 2140600 9327609
7200000 2127609 9343681
7230000 2113681 9363698
7260000 2103698 9381746
7290000 2091746 9396817
7320000 2076817 9411836
7350000 2061836 9427841
7380000 2047841 9442918
7410000 2032918 9458928
7440000 2018928 9473947
7470000 2003947 9490970
7500000 1990970 9505052
7530000 1975052 9521097
7560000 1961097 9537118
7590000 1947118 9554148
7620000 1934148 9574177
7650000 1924177 9590207
7680000 1910207 9605283
7710000 1895283 9621309
7740000 1881309 9638348
7770000 1868348 9653445
7800000 1853445 9671523
7830000 1841523 9687558
7860000 1827558 9703654
7890000 1813654 9718744
7920000 1798744 9732777
7950000 1782777 9746872
7980000 1766872 9760922
8010000 1750922 9776965
8040000 1736965 9791975
8070000 1721975 9810060
8100000 1710060 9826063
8130000 1696063 9842106
8160000 1682106 9858116
8190000 1668116 9873205
8220000 1653205 9888280
8250000 1638280 9904350
8280000 1624350 9921405
8310000 1611405 9941479
8340000 1601479 9956571
8370000 1586571 9971609
8400000 1571609 9987634
8430000 1557634 10003638
8460000 1543638 10017709
8490000 1527709 10032799
8520000 1512799 10048816
8550000 1498816 10062880
8580000 1482880 10079944
8610000 1469944 10097013
8640000 1457013 10117100
8670000 1447100 10135198
8700000 1435198 10151295
8730000 1421295 10166336
8760000 1406336 10181392
8790000 1391392 10197426
8820000 1377426 10211514
8850000 1361514 10230559
8880000 1350559 10245658
8910000 1335658 10261665
8940000 1321665 10278665
8970000 1308665 10299667
9000000 1299667 10315738
9030000 1285738 10331778
9060000 1271778 10347797
9090000 1257797 10363804
9120000 1243804 10379854
